id,added_on_year,type,bedrooms,bathrooms,town,price
3727,2024,Detached Duplex,4,4.0,Lugbe District,130000000.0
3728,2024,Terraced Duplex,4,4.0,Life Camp,170000000.0
3729,2024,Terraced Duplex,4,4.0,Jahi,400000000.0
3730,2024,Detached Bungalow,4,4.0,Karsana,200000000.0
3731,2024,Flat / Apartment,3,3.0,Katampe,85000000.0
3732,2024,Flat / Apartment,4,4.0,Kaura,65000000.0
3733,2024,Detached Duplex,5,5.0,Dakwo,185000000.0
3734,2024,House,4,4.0,Katampe,550000000.0
3735,2024,Flat / Apartment,3,3.0,Kado,125000000.0
3736,2024,Detached Bungalow,3,4.0,Galadimawa,160000000.0
3737,2024,Flat / Apartment,1,1.0,Katampe,60000000.0
3738,2024,Flat / Apartment,3,3.0,Jahi,130000000.0
3739,2024,Detached Duplex,7,8.0,Gwarinpa,860000000.0
3740,2024,Detached Duplex,4,6.0,Utako,550000000.0
3741,2024,Detached Duplex,5,5.0,Life Camp,300000000.0
3742,2024,Terraced Duplex,3,3.0,Life Camp,170000000.0
3743,2024,Detached Duplex,6,6.0,Apo,285000000.0
3744,2024,Flat / Apartment,4,4.0,Katampe,190000000.0
3745,2024,Terraced Duplex,3,3.0,Life Camp,170000000.0
3746,2024,House,5,5.0,Life Camp,300000000.0
3747,2024,Detached Duplex,5,5.0,Idu Industrial,325000000.0
3748,2024,Detached Duplex,5,6.0,Jabi,630000000.0
3749,2024,Flat / Apartment,2,2.0,Maitama District,200000000.0
3750,2024,Terraced Duplex,4,4.0,Kado,240000000.0
3751,2024,Terraced Duplex,5,5.0,Jahi,500000000.0
3752,2024,Terraced Duplex,4,4.0,Kado,270000000.0
3753,2024,Terraced Duplex,4,4.0,Mabushi,230000000.0
3754,2024,Detached Duplex,5,5.0,Jabi,550000000.0
3756,2024,Detached Duplex,5,5.0,Lugbe District,255000000.0
3757,2024,Terraced Duplex,4,4.0,Karmo,200000000.0
3758,2024,Detached Duplex,4,4.0,Jabi,200000000.0
3759,2024,Terraced Duplex,4,4.0,Gaduwa,130000000.0
3760,2024,Terraced Duplex,3,3.0,Gaduwa,100000000.0
3761,2024,Terraced Duplex,3,3.0,Wuye,130000000.0
3762,2024,Detached Duplex,5,5.0,Maitama District,3000000000.0
3763,2024,Detached Duplex,6,6.0,Maitama District,2000000000.0
3764,2024,Terraced Duplex,2,2.0,Katampe,120000000.0
3765,2024,Terraced Duplex,5,6.0,Guzape District,360000000.0
3766,2024,Detached Bungalow,4,5.0,Lugbe District,55000000.0
3767,2024,Detached Bungalow,4,5.0,Lugbe District,55000000.0
3768,2024,Terraced Duplex,4,4.0,Apo,200000000.0
