id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
262,2025,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦300,000,000"
263,2025,Terraced Duplex,4,4,5,4,Garki,Abuja,"₦270,000,000"
264,2025,Detached Bungalow,4,4,5,7,Gwarinpa,Abuja,"₦190,000,000"
265,2025,Terraced Duplex,4,4,5,4,Garki,Abuja,"₦270,000,000"
266,2025,Flat / Apartment,2,3,3,1,Life Camp,Abuja,"₦65,000,000"
267,2025,Flat / Apartment,3,4,4,Unknown,Jahi,Abuja,"₦130,000,000"
268,2025,Detached Duplex,5,5,6,4,Katampe,Abuja,"₦270,000,000"
269,2024,Terraced Duplex,4,5,5,4,Katampe,Abuja,"₦500,000,000"
270,2025,Terraced Duplex,4,5,5,Unknown,Gwarinpa,Abuja,"₦195,000,000"
271,2025,Terraced Duplex,3,3,4,3,Dakwo,Abuja,"₦160,000,000"
272,2025,Detached Bungalow,2,3,3,Unknown,Lugbe District,Abuja,"₦40,000,000"
273,2025,Detached Duplex,7,7,8,5,Guzape District,Abuja,"₦600,000,000"
274,2025,Detached Duplex,5,5,6,Unknown,Karsana,Abuja,"₦400,000,000"
275,2025,Detached Duplex,16,16,20,20,Katampe,Abuja,"₦2,500,000,000"
276,2025,Detached Duplex,6,6,7,4,Katampe,Abuja,"₦700,000,000"
277,2025,Detached Duplex,5,5,6,4,Wuye,Abuja,"₦800,000,000"
278,2023,Terraced Duplex,5,6,6,Unknown,Katampe,Abuja,"₦150,000,000"
279,2025,Terraced Duplex,4,5,5,Unknown,Jahi,Abuja,"₦300,000,000"
280,2024,Flat / Apartment,2,3,3,Unknown,Maitama District,Abuja,"₦50,000,000"
281,2023,Flat / Apartment,2,Unknown,4,Unknown,Life Camp,Abuja,"₦70,000,000"
282,2025,Terraced Duplex,4,4,5,5,Wuse,Abuja,"₦240,000,000"
283,2025,House,4,4,5,6,Guzape District,Abuja,"₦270,000,000"
284,2025,Flat / Apartment,3,3,4,3,Wuye,Abuja,"₦235,000,000"
285,2025,Terraced Duplex,4,4,5,6,Apo,Abuja,"₦17,000,000"
286,2024,Detached Duplex,5,5,6,Unknown,Asokoro District,Abuja,"₦650,000,000"
287,2024,Detached Bungalow,3,3,4,6,Apo,Abuja,"₦40,000,000"
288,2024,Terraced Duplex,4,5,5,Unknown,Jabi,Abuja,"₦270,000,000"
289,2025,Terraced Duplex,4,4,5,6,Apo,Abuja,"₦17,000,000"
290,2024,Detached Duplex,4,4,5,6,Apo,Abuja,"₦230,000,000"
291,2024,Detached Bungalow,3,3,4,4,Lokogoma District,Abuja,"₦70,000,000"
292,2025,Detached Duplex,11,11,12,Unknown,Guzape District,Abuja,"₦3,000,000,000"
293,2025,House,7,Unknown,Unknown,Unknown,Asokoro District,Abuja,"₦1,560,000,000"
294,2025,Detached Duplex,5,5,6,6,Wuye,Abuja,"₦800,000,000"
295,2025,Detached Bungalow,3,5,5,Unknown,Gwarinpa,Abuja,"₦130,000,000"
296,2025,Terraced Duplex,4,4,5,4,Jahi,Abuja,"₦370,000,000"
297,2025,Detached Duplex,6,6,7,15,Kukwaba,Abuja,"₦650,000,000"
298,2025,Terraced Duplex,4,4,5,3,Life Camp,Abuja,"₦255,000,000"
299,2024,Terraced Duplex,4,4,5,Unknown,Katampe,Abuja,"₦380,000,000"
300,2025,Flat / Apartment,3,3,4,2,Katampe,Abuja,"₦120,000,000"
301,2024,Flat / Apartment,3,3,4,Unknown,Gwarinpa,Abuja,"₦85,000,000"
302,2024,Terraced Duplex,4,4,5,Unknown,Kado,Abuja,"₦130,000,000"
303,2024,Flat / Apartment,2,2,3,Unknown,Life Camp,Abuja,"₦75,000,000"
304,2024,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦250,000,000"
305,2024,Detached Bungalow,3,3,4,6,Lokogoma District,Abuja,"₦155,000,000"
306,2024,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦310,000,000"
307,2024,Terraced Duplex,4,4,5,Unknown,Mabushi,Abuja,"₦185,000,000"
308,2025,Terraced Duplex,4,4,5,Unknown,Durumi,Abuja,"₦270,000,000"
309,2025,Terraced Duplex,3,3,4,Unknown,Gwarinpa,Abuja,"₦140,000,000"
